identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
dash.adjust.com,URL,"",true,true,,,,critical,,2023-10-05 18:20:03 UTC,2023-10-05 18:20:03 UTC
api.adjust.com,URL,"",true,true,,,,critical,,2023-10-05 18:20:20 UTC,2023-10-05 18:20:20 UTC
86.48.44.0/24,CIDR,"",true,true,,,,critical,,2023-10-05 18:22:10 UTC,2023-10-05 18:22:10 UTC
86.48.45.0/24,CIDR,"",true,true,,,,critical,,2023-10-05 18:22:30 UTC,2023-10-05 18:22:30 UTC
86.48.46.0/24,CIDR,"",true,true,,,,critical,,2023-10-05 18:22:50 UTC,2023-10-05 18:22:50 UTC
86.48.47.0/24,CIDR,"",true,true,,,,critical,,2023-10-05 18:23:10 UTC,2023-10-05 18:23:10 UTC
199.101.182.0/23,CIDR,"",true,true,,,,critical,,2023-10-05 18:23:29 UTC,2023-10-05 18:23:29 UTC
173.208.60.0/23,CIDR,"",true,true,,,,critical,,2023-10-05 18:23:50 UTC,2023-10-05 18:23:50 UTC
185.84.200.0/23,CIDR,"",true,true,,,,critical,,2023-10-05 18:24:07 UTC,2023-10-05 18:24:07 UTC
185.151.204.0/22,CIDR,"",true,true,,,,critical,,2023-10-05 18:24:35 UTC,2023-10-05 18:24:35 UTC
185.230.36.0/23,CIDR,"",true,true,,,,critical,,2023-10-05 18:24:53 UTC,2023-10-05 18:24:53 UTC
185.255.24.0/22,CIDR,"",true,true,,,,critical,,2023-10-05 18:25:09 UTC,2023-10-05 18:25:09 UTC
23.19.48.0/22,CIDR,"",true,true,,,,critical,,2023-10-05 18:25:23 UTC,2023-10-05 18:25:23 UTC
185.230.36.0/22,CIDR,"",true,true,,,,critical,,2023-10-05 18:25:50 UTC,2023-10-05 18:25:50 UTC
*.adjust.com,WILDCARD,"",true,true,,,,critical,,2023-10-05 18:26:47 UTC,2023-10-05 18:26:47 UTC
*.atom.adjust.com,WILDCARD,"",false,false,,,,critical,,2023-10-05 18:27:39 UTC,2023-10-05 18:27:39 UTC
insights.adjust.com,URL,"",false,false,,,,none,,2023-10-05 18:28:14 UTC,2023-10-05 18:28:14 UTC
lyncdiscover.adjust.com,URL,"",false,false,,,,none,,2023-10-05 18:28:34 UTC,2023-10-05 18:28:34 UTC
salesloft.adjust.com,URL,"",false,false,,,,none,,2023-10-05 18:28:53 UTC,2023-10-05 18:28:53 UTC
*.cloud.adjust.com,WILDCARD,"",false,false,,,,none,,2023-10-05 18:29:18 UTC,2023-10-05 18:29:18 UTC
atlas.adjust.com,URL,"",false,false,,,,critical,,2023-10-16 15:57:26 UTC,2023-10-16 15:57:26 UTC
atom.adjust.com,URL,"",false,false,,,,critical,,2023-10-16 15:57:47 UTC,2023-10-16 15:57:47 UTC
enterpriseenrollment.adjust.com,URL,"",false,false,,,,critical,,2023-10-16 15:58:05 UTC,2023-10-16 15:58:05 UTC
enterpriseregistration.adjust.com,URL,"",false,false,,,,critical,,2023-10-16 15:58:24 UTC,2023-10-16 15:58:24 UTC
events.adjust.com,URL,"",false,false,,,,critical,,2023-10-16 15:58:42 UTC,2023-10-16 15:58:42 UTC
go.adjust.com,URL,"",false,false,,,,critical,,2023-10-16 15:58:54 UTC,2023-10-16 15:58:54 UTC
iq.adjust.com,URL,"",false,false,,,,critical,,2023-10-16 15:59:16 UTC,2023-10-16 15:59:16 UTC
iq2.adjust.com,URL,"",false,false,,,,critical,,2023-10-16 16:02:46 UTC,2023-10-16 16:02:46 UTC
lite.atom.adjust.com,URL,"",false,false,,,,critical,,2023-10-16 16:03:04 UTC,2023-10-16 16:03:04 UTC
pm-bounces.adjust.com,URL,"",false,false,,,,critical,,2023-10-16 16:03:23 UTC,2023-10-16 16:03:23 UTC
status.adjust.com,URL,"",false,false,,,,critical,,2023-10-16 16:03:45 UTC,2023-10-16 16:03:45 UTC
try.adjust.com,URL,"",false,false,,,,critical,,2023-10-16 16:04:05 UTC,2023-10-16 16:04:05 UTC
vercel.adjust.com,URL,"",false,false,,,,critical,,2023-10-16 16:04:22 UTC,2023-10-16 16:04:22 UTC
brand.adjust.com,URL,"",false,false,,,,none,,2024-07-17 21:09:49 UTC,2024-07-17 21:09:49 UTC
trust.adjust.com,URL,"",false,false,not_defined,not_defined,not_defined,none,,2025-12-01 08:58:17 UTC,2025-12-01 08:58:17 UTC
